bot_type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 1,b4eea87c-fc52-437e-9a5a-d6d0e1bfc230,0.0,"(31, 3)","(34, 16)","(27, 12)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/b4eea87c-fc52-437e-9a5a-d6d0e1bfc230.png,4936
Bot 2,21cad73f-2f2c-429f-9d1e-d29b7e5a9dd7,0.0,"(31, 3)","(34, 16)","(27, 12)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/21cad73f-2f2c-429f-9d1e-d29b7e5a9dd7.png,4936
Bot 3,2f4095e1-9c96-47b2-bbbe-0bea6c12e1f4,0.0,"(31, 3)","(34, 16)","(27, 12)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/2f4095e1-9c96-47b2-bbbe-0bea6c12e1f4.png,4936
Bot 4,c95d6ce5-9015-456b-a900-92f44aeb0689,0.0,"(31, 3)","(34, 16)","(27, 12)",20,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/c95d6ce5-9015-456b-a900-92f44aeb0689.png,4936
Bot 1,593336fc-2ad0-4d3a-bb65-d9b8bc1a6922,0.0,"(21, 18)","(8, 12)","(1, 37)",25,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/593336fc-2ad0-4d3a-bb65-d9b8bc1a6922.png,4738
Bot 2,fe6350b1-c941-415a-91e6-37c0c3fb588f,0.0,"(21, 18)","(8, 12)","(1, 37)",25,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/fe6350b1-c941-415a-91e6-37c0c3fb588f.png,4738
Bot 3,e8824889-4b90-4267-a17e-4d84dd28aaa1,0.0,"(21, 18)","(8, 12)","(1, 37)",25,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/e8824889-4b90-4267-a17e-4d84dd28aaa1.png,4738
Bot 4,15307351-3f28-4c77-b65b-577be74e7fd1,0.0,"(21, 18)","(8, 12)","(1, 37)",25,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/15307351-3f28-4c77-b65b-577be74e7fd1.png,4738
Bot 1,7ca16607-65be-4b17-92f5-ec4605ca8ae7,0.05,"(6, 33)","(13, 29)","(24, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/7ca16607-65be-4b17-92f5-ec4605ca8ae7.png,156
Bot 2,1afcbab0-500f-4bb1-9835-7523d4f050db,0.05,"(6, 33)","(13, 29)","(24, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/1afcbab0-500f-4bb1-9835-7523d4f050db.png,156
Bot 3,ad395eaa-a122-4cf7-ac7f-21f6d0364388,0.05,"(6, 33)","(13, 29)","(24, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ad395eaa-a122-4cf7-ac7f-21f6d0364388.png,156
Bot 4,a42ec0bb-6ba3-433c-bde8-2bc8dd387d67,0.05,"(6, 33)","(13, 29)","(24, 38)",11,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a42ec0bb-6ba3-433c-bde8-2bc8dd387d67.png,156
Bot 1,ea0b55ee-fec7-4ca1-9359-0022ff79dc86,0.05,"(1, 3)","(13, 31)","(33, 25)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/ea0b55ee-fec7-4ca1-9359-0022ff79dc86.png,6220
Bot 2,a511fbca-1145-4dd9-aee5-c0d5fc8a23e1,0.05,"(1, 3)","(13, 31)","(33, 25)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/a511fbca-1145-4dd9-aee5-c0d5fc8a23e1.png,6220
Bot 3,59cd834a-31af-45f0-bb66-fe6729b868bd,0.05,"(1, 3)","(13, 31)","(33, 25)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/59cd834a-31af-45f0-bb66-fe6729b868bd.png,6220
Bot 4,f9336e23-d303-4ac0-a02c-98d9ccdb06bf,0.05,"(1, 3)","(13, 31)","(33, 25)",42,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/f9336e23-d303-4ac0-a02c-98d9ccdb06bf.png,6220
Bot 1,9d61b404-acb1-4024-bbc4-8fac93a00710,0.05,"(25, 33)","(22, 13)","(6, 17)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/9d61b404-acb1-4024-bbc4-8fac93a00710.png,9307
Bot 2,0ee38d51-d2df-4716-8d29-05b1fbf92f60,0.05,"(25, 33)","(22, 13)","(6, 17)",29,Success,C:/Users/shaiv/Downloads/ai_project_1-main/final_frames/0ee38d51-d2df-4716-8d29-05b1fbf92f60.png,9307
