Bot Type,run_id,q,bot_pos_init,button_pos_init,fire_init,steps,result,final_frame,seed_value
Bot 1,121444ac-e6bb-4dc6-80f1-b52085a506fc,0.0,"(18, 12)","(23, 16)","(32, 16)",9,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/121444ac-e6bb-4dc6-80f1-b52085a506fc.png,36682
Bot 2,86e6c0b1-c3f2-4f3d-a1a9-99d94bd424ed,0.0,"(18, 12)","(23, 16)","(32, 16)",9,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/86e6c0b1-c3f2-4f3d-a1a9-99d94bd424ed.png,36682
Bot 3,b8a6e12a-f6b9-4700-9f07-3eb9cd59c3d5,0.0,"(18, 12)","(23, 16)","(32, 16)",9,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/b8a6e12a-f6b9-4700-9f07-3eb9cd59c3d5.png,36682
Bot 4,dbd01b71-929c-4a79-9213-f845cfcd0af6,0.0,"(18, 12)","(23, 16)","(32, 16)",9,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/dbd01b71-929c-4a79-9213-f845cfcd0af6.png,36682
Bot 1,b8d2d71b-93ae-4ff4-8b35-4d20b0c119ac,0.0,"(31, 19)","(34, 2)","(34, 35)",22,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/b8d2d71b-93ae-4ff4-8b35-4d20b0c119ac.png,21111
Bot 2,417349da-5920-4458-8d61-96224dba88fe,0.0,"(31, 19)","(34, 2)","(34, 35)",22,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/417349da-5920-4458-8d61-96224dba88fe.png,21111
Bot 3,b2564c0b-3a4a-4c6a-99e3-7d6f44b72b98,0.0,"(31, 19)","(34, 2)","(34, 35)",22,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/b2564c0b-3a4a-4c6a-99e3-7d6f44b72b98.png,21111
Bot 4,4c7369a0-b078-442d-b328-b29cedc2aa55,0.0,"(31, 19)","(34, 2)","(34, 35)",22,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/4c7369a0-b078-442d-b328-b29cedc2aa55.png,21111
Bot 1,af99eb2a-2231-4137-b251-3c3e2dc9fcfd,0.0,"(18, 27)","(9, 30)","(4, 26)",12,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/af99eb2a-2231-4137-b251-3c3e2dc9fcfd.png,83165
Bot 2,90fadd54-465b-4942-9e16-789a1da30c2c,0.0,"(18, 27)","(9, 30)","(4, 26)",12,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/90fadd54-465b-4942-9e16-789a1da30c2c.png,83165
Bot 3,39e29c3b-fcdc-45c7-b1c8-b49758bdac8f,0.0,"(18, 27)","(9, 30)","(4, 26)",12,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/39e29c3b-fcdc-45c7-b1c8-b49758bdac8f.png,83165
Bot 4,de81b9d3-c73d-4fc1-b7cf-d28119c30f7b,0.0,"(18, 27)","(9, 30)","(4, 26)",12,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/de81b9d3-c73d-4fc1-b7cf-d28119c30f7b.png,83165
Bot 1,8bae53ca-c8ca-4dd8-a58d-b92c1bd95b5a,0.0,"(15, 38)","(21, 7)","(33, 4)",41,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/8bae53ca-c8ca-4dd8-a58d-b92c1bd95b5a.png,18167
Bot 2,dccc6b48-6e9b-4623-99e2-2a2177ca3dc7,0.0,"(15, 38)","(21, 7)","(33, 4)",41,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/dccc6b48-6e9b-4623-99e2-2a2177ca3dc7.png,18167
Bot 3,15f02be9-16f4-4e70-967a-32c1eacc9a59,0.0,"(15, 38)","(21, 7)","(33, 4)",41,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/15f02be9-16f4-4e70-967a-32c1eacc9a59.png,18167
Bot 4,b3c2296d-d0a6-4c75-a193-9bd7a2bfedf0,0.0,"(15, 38)","(21, 7)","(33, 4)",41,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/b3c2296d-d0a6-4c75-a193-9bd7a2bfedf0.png,18167
Bot 1,98e24c4d-2f8d-4a95-933e-09dd8289f47e,0.0,"(5, 19)","(31, 36)","(4, 6)",49,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/98e24c4d-2f8d-4a95-933e-09dd8289f47e.png,93536
Bot 2,53e1079e-00f8-402b-85e8-99754db009ca,0.0,"(5, 19)","(31, 36)","(4, 6)",49,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/53e1079e-00f8-402b-85e8-99754db009ca.png,93536
Bot 3,cce368bc-7722-407f-a309-fbb83e66a2e2,0.0,"(5, 19)","(31, 36)","(4, 6)",49,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/cce368bc-7722-407f-a309-fbb83e66a2e2.png,93536
Bot 4,77751c3b-3154-4d31-87f1-2a52f7c1110e,0.0,"(5, 19)","(31, 36)","(4, 6)",49,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/77751c3b-3154-4d31-87f1-2a52f7c1110e.png,93536
Bot 1,2e52dfe1-cdc8-485f-bd87-afdfcb1ea5c5,0.0,"(22, 29)","(38, 10)","(27, 18)",35,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/2e52dfe1-cdc8-485f-bd87-afdfcb1ea5c5.png,3719
Bot 2,09805db5-734c-453a-a3a7-d78a816f678b,0.0,"(22, 29)","(38, 10)","(27, 18)",35,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/09805db5-734c-453a-a3a7-d78a816f678b.png,3719
Bot 3,5c2915b8-a9e3-439e-9f62-dc89b4e4b929,0.0,"(22, 29)","(38, 10)","(27, 18)",35,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/5c2915b8-a9e3-439e-9f62-dc89b4e4b929.png,3719
Bot 4,e6908edc-5d7e-4eb8-b8b3-4a222f5802e3,0.0,"(22, 29)","(38, 10)","(27, 18)",35,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/e6908edc-5d7e-4eb8-b8b3-4a222f5802e3.png,3719
Bot 1,e59d3edc-5ca1-4ad6-a0f4-799b58157089,0.0,"(33, 38)","(3, 32)","(24, 24)",40,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/e59d3edc-5ca1-4ad6-a0f4-799b58157089.png,67059
Bot 2,36a59174-18ef-4c5a-b7ed-7fc58ecf6f3a,0.0,"(33, 38)","(3, 32)","(24, 24)",40,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/36a59174-18ef-4c5a-b7ed-7fc58ecf6f3a.png,67059
Bot 3,486b94b1-d6b3-49a2-80ca-2dc60af47451,0.0,"(33, 38)","(3, 32)","(24, 24)",40,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/486b94b1-d6b3-49a2-80ca-2dc60af47451.png,67059
Bot 4,45d05c68-ec7a-40e2-a11e-87008c345d74,0.0,"(33, 38)","(3, 32)","(24, 24)",40,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/45d05c68-ec7a-40e2-a11e-87008c345d74.png,67059
Bot 1,87fd5349-172e-4fcd-b4ad-53bffc41c003,0.0,"(27, 22)","(37, 33)","(14, 29)",23,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/87fd5349-172e-4fcd-b4ad-53bffc41c003.png,97956
Bot 2,88ae6fff-d02d-4a81-a8e4-7384a7a06ebf,0.0,"(27, 22)","(37, 33)","(14, 29)",23,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/88ae6fff-d02d-4a81-a8e4-7384a7a06ebf.png,97956
Bot 3,ad8be239-d83b-4c6b-906b-0504f4f745fb,0.0,"(27, 22)","(37, 33)","(14, 29)",23,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/ad8be239-d83b-4c6b-906b-0504f4f745fb.png,97956
Bot 4,a9b10c29-57a8-4dfc-9d6a-92dd129e3ebb,0.0,"(27, 22)","(37, 33)","(14, 29)",23,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/a9b10c29-57a8-4dfc-9d6a-92dd129e3ebb.png,97956
Bot 1,b0e3367d-15b9-4e51-8d3f-9fce2f7f86e8,0.0,"(35, 37)","(29, 17)","(10, 36)",30,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/b0e3367d-15b9-4e51-8d3f-9fce2f7f86e8.png,90936
Bot 2,7bea99c6-776f-4344-ac91-8d400737fac3,0.0,"(35, 37)","(29, 17)","(10, 36)",30,Success,/Users/drcrocs22/Developer/Rutgers Projects/Intro To AI/PROJECT_1_FINAL/final_frames/7bea99c6-776f-4344-ac91-8d400737fac3.png,90936
